Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current education level,Fluent languages,Subject,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64a1bbdf269806efe27f5f8c,5e2761b3ce16da9982f88406,APPROVED,2023-07-02T18:05:23.860000Z,2023-07-02T18:19:21.873000Z,2023-07-02T18:47:28.273000,2023-07-02T18:19:22.418784Z,839,CACDZOAC,639,Undergraduate degree (BA/BSc/other),"English, Nepali",Engineering,23,Female,Asian,Brunei Darussalam,United Kingdom,United Kingdom,English,Yes,Part-Time
64a1bc17bbce1db980055676,5e5d66f2101bf703d65326bc,APPROVED,2023-07-02T18:05:24.262000Z,2023-07-02T18:19:50.379000Z,2023-07-02T18:47:28.462000,2023-07-02T18:19:50.899507Z,867,CACDZOAC,455,Undergraduate degree (BA/BSc/other),"Hungarian, German, English","Computer Science, Engineering, Computing (IT)",22,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Other
64a1bc65a0d457d970b2ee8a,612a98181f4b6d1cf01f926c,APPROVED,2023-07-02T18:05:25.262000Z,2023-07-02T18:34:04.833000Z,2023-07-02T18:47:28.639000,2023-07-02T18:34:05.269978Z,1720,CACDZOAC,159,Undergraduate degree (BA/BSc/other),"Afrikaans, English",Computer Science,21,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
64a1bcb8999df0d75fb2ee75,61300c2d5a36876db1251ff5,APPROVED,2023-07-02T18:06:52.142000Z,2023-07-02T18:16:57.714000Z,2023-07-02T18:42:58.423000,2023-07-02T18:16:59.313700Z,606,CACDZOAC,55,Undergraduate degree (BA/BSc/other),"Arabic, French, German, English",Engineering,20,Female,Other,Canada,Canada,Canada,Arabic,Yes,Unemployed (and job seeking)
64a1bce4e0c3f54fa2760e10,5e03ed9c6a5bffeccec824c3,APPROVED,2023-07-02T18:07:34.604000Z,2023-07-02T18:21:56.967000Z,2023-07-02T18:47:28.827000,2023-07-02T18:21:59.360003Z,863,CACDZOAC,668,Undergraduate degree (BA/BSc/other),"Portuguese, English","Computing (IT), Engineering, Computer Science",25,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
64a1bcf63084e0f979a687d0,63d142821569b5debdfdf1d7,RETURNED,2023-07-02T18:07:55.534000Z,2023-07-02T18:11:13.375000Z,,2023-07-02T18:11:14.122000Z,,CACDZOAC,536,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64a1bd29dbf43d1a3a15c809,60f579085ebf24f9c80f223e,APPROVED,2023-07-02T18:08:41.760000Z,2023-07-02T18:14:53.086000Z,2023-07-03T07:02:44.009000,2023-07-02T18:14:57.348253Z,372,CACDZOAC,176,Undergraduate degree (BA/BSc/other),English,"Accounting, Biology, Chemistry, English Language, Mathematics",21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
64a1bd858e350de922c95152,612d3e8ed57a02392c73de46,APPROVED,2023-07-02T18:10:39.197000Z,2023-07-02T18:27:33.640000Z,2023-07-02T18:47:29.038000,2023-07-02T18:27:34.106001Z,1015,CACDZOAC,160,Undergraduate degree (BA/BSc/other),English,Mathematics,19,Female,Black,Nigeria,Hungary,Nigeria,English,Yes,Other
64a1bdbb0e6bed03ce2c500d,614443bd90f021a167d385ab,REJECTED,2023-07-02T18:11:07.072000Z,2023-07-02T18:15:21.535000Z,2023-07-07T08:45:47.796000Z,2023-07-02T18:15:22.324000Z,255,CACDZOAC,39,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64a1be01611611a87b2c4fd8,60eda99c035ff446fa04a919,APPROVED,2023-07-02T18:12:28.753000Z,2023-07-02T18:18:28.880000Z,2023-07-03T07:02:44.189000,2023-07-02T18:18:29.559081Z,361,CACDZOAC,412,Undergraduate degree (BA/BSc/other),English,"Biochemistry (Molecular and Cellular), Biological Sciences",20,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
64a1be0386b2e0205186bcff,64835cdc41f91285bcbd2de1,APPROVED,2023-07-02T18:12:40.311000Z,2023-07-02T18:28:39.420000Z,2023-07-02T18:47:29.225000,2023-07-02T18:28:39.950873Z,960,CACDZOAC,12,Undergraduate degree (BA/BSc/other),English,Computer Science,22,Male,Black,Zimbabwe,South Africa,Zimbabwe,Other,Yes,Part-Time
64a1be15faa9e285ddaa7f0b,605a3d6586dd6c28f594e8ec,APPROVED,2023-07-02T18:12:40.365000Z,2023-07-02T18:24:17.041000Z,2023-07-02T18:47:29.435000,2023-07-02T18:24:18.504654Z,697,CACDZOAC,63,Undergraduate degree (BA/BSc/other),"English, Finnish","Computer Science, Communication and/or Media",30,Male,White,Finland,Finland,Finland,Finnish,Yes,Full-Time
64a1be6fa6406fdb9b86bcfa,5bb8a14e002f190001a30ec7,APPROVED,2023-07-02T18:14:11.694000Z,2023-07-02T18:22:48.585000Z,2023-07-03T07:02:44.368000,2023-07-02T18:22:49.097324Z,517,CACDZOAC,226,Undergraduate degree (BA/BSc/other),"German, English",Computer Science,23,Male,White,Austria,Austria,Austria,German,Yes,Unemployed (and job seeking)
64a1be9fbf4ca25eb9e1e1e3,63e51e55974365f1e43df265,RETURNED,2023-07-02T18:14:58.470000Z,2023-07-02T18:27:17.245000Z,,2023-07-02T18:27:18.687000Z,,CACDZOAC,761,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64a1bee8aff8c4990b18da52,5f450738ab827a05e739ef40,APPROVED,2023-07-02T18:16:08.806000Z,2023-07-02T18:26:01.152000Z,2023-07-02T18:59:37.318000,2023-07-02T18:26:01.760978Z,593,CACDZOAC,901,Undergraduate degree (BA/BSc/other),"English, Lithuanian, Russian",Computer Science,29,Male,White,Lithuania,United Kingdom,Lithuania,Lithuanian,DATA_EXPIRED,Full-Time
64a1bef863b0d8e1b75cf696,606c84985bc8f54faae85092,APPROVED,2023-07-02T18:16:24.173000Z,2023-07-02T18:23:15.184000Z,2023-07-03T07:02:44.552000,2023-07-02T18:23:15.689808Z,412,CACDZOAC,181,Undergraduate degree (BA/BSc/other),"Italian, English",Engineering,23,Male,White,Italy,Italy,Italy,Italian,Yes,DATA_EXPIRED
64a1bf48fe5e57db6e764847,5ee3fbb98976fc0f59fe2939,RETURNED,2023-07-02T18:17:58.072000Z,2023-07-02T18:21:10.088000Z,,2023-07-02T18:21:14.075000Z,,CACDZOAC,702,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
